Category,x
HP:0001117,6
HP:0001118,11
HP:0001119,4
HP:0001120,169
HP:0001123,222
HP:0001125,2
HP:0001126,7
HP:0001128,3
HP:0001129,3
HP:0001131,34
HP:0001132,16
HP:0001133,99
HP:0001134,4
HP:0001135,4
HP:0001136,30
HP:0001137,9
HP:0001138,48
HP:0001139,8
HP:0001140,7
HP:0001141,41
HP:0001142,10
HP:0001144,6
HP:0001147,6
HP:0001149,3
HP:0001151,8
HP:0001152,26
HP:0001153,11
HP:0001155,1521
HP:0001156,359
HP:0001159,380
HP:0001161,178
HP:0001162,97
HP:0001166,121
HP:0001167,1121
HP:0001169,29
HP:0001171,66
HP:0001172,372
HP:0001176,37
HP:0001177,55
HP:0001178,9
HP:0001180,11
HP:0001181,104
HP:0001182,128
HP:0001187,25
HP:0001188,29
HP:0001191,84
HP:0001193,57
HP:0001194,91
HP:0001195,33
HP:0001196,5
HP:0001197,978
HP:0001199,67
HP:0001204,5
HP:0001211,77
HP:0001212,31
HP:0001215,2
HP:0001216,15
HP:0001217,134
HP:0001218,17
HP:0001220,204
HP:0001222,3
HP:0001223,2
HP:0001225,4
HP:0001227,33
HP:0001230,22
HP:0001231,184
HP:0001232,2
HP:0001233,15
HP:0001234,5
HP:0001238,144
HP:0001239,32
HP:0001241,11
HP:0001245,11
HP:0001248,4
HP:0001249,1893
HP:0001250,1834
HP:0001251,964
HP:0001252,1720
HP:0001254,208
HP:0001256,327
HP:0001257,839
HP:0001258,130
HP:0001259,100
HP:0001260,542
HP:0001262,72
HP:0001263,1780
HP:0001264,40
HP:0001265,382
HP:0001266,115
HP:0001268,329
HP:0001269,89
HP:0001270,851
HP:0001271,54
HP:0001272,404
HP:0001273,831
HP:0001274,316
HP:0001276,1041
HP:0001278,44
HP:0001279,112
HP:0001281,19
HP:0001283,46
HP:0001284,280
HP:0001285,68
HP:0001287,75
HP:0001288,1117
HP:0001289,73
HP:0001290,799
HP:0001291,246
HP:0001293,49
HP:0001297,159
HP:0001298,287
HP:0001300,126
HP:0001301,1
HP:0001302,144
HP:0001304,8
HP:0001305,127
HP:0001308,42
HP:0001310,172
HP:0001311,622
HP:0001312,6
HP:0001315,557
HP:0001317,936
HP:0001319,197
HP:0001320,258
HP:0001321,413
HP:0001324,967
HP:0001325,22
HP:0001326,13
HP:0001327,8
HP:0001328,269
HP:0001331,65
HP:0001332,476
HP:0001334,19
HP:0001335,32
HP:0001336,345
HP:0001337,593
HP:0001338,46
HP:0001339,169
HP:0001340,3
HP:0001341,7
HP:0001342,64
HP:0001343,1
HP:0001344,386
HP:0001345,16
HP:0001347,755
HP:0001348,85
HP:0001349,43
HP:0001350,45
HP:0001351,3
HP:0001355,43
HP:0001357,129
HP:0001360,75
HP:0001361,19
HP:0001362,27
HP:0001363,176
HP:0001367,1134
HP:0001369,210
HP:0001370,20
HP:0001371,768
HP:0001373,366
HP:0001374,83
HP:0001376,424
HP:0001377,49
HP:0001382,326
HP:0001384,342
HP:0001385,160
HP:0001386,52
HP:0001387,192
HP:0001388,252
HP:0001392,1040
HP:0001394,158
HP:0001395,138
HP:0001396,273
HP:0001397,149
HP:0001399,146
HP:0001401,3
HP:0001402,75
HP:0001403,16
HP:0001404,4
HP:0001405,10
HP:0001406,20
HP:0001407,27
HP:0001408,19
HP:0001409,73
HP:0001410,191
HP:0001412,1
HP:0001413,23
HP:0001414,18
HP:0001417,235
HP:0001419,172
HP:0001421,113
HP:0001423,55
HP:0001426,86
HP:0001427,5
HP:0001428,176
HP:0001430,65
HP:0001433,153
HP:0001435,133
HP:0001436,11
HP:0001437,95
HP:0001438,747
HP:0001440,7
HP:0001441,16
HP:0001442,18
HP:0001444,1
HP:0001445,5
HP:0001446,247
HP:0001450,8
HP:0001454,72
HP:0001457,14
HP:0001459,1
HP:0001460,47
HP:0001464,3
HP:0001465,4
HP:0001466,4
HP:0001467,4
HP:0001468,1
HP:0001469,5
HP:0001470,4
HP:0001471,5
HP:0001473,2
HP:0001474,2
HP:0001476,28
HP:0001477,4
HP:0001480,50
HP:0001482,90
HP:0001483,4
HP:0001488,73
HP:0001489,3
HP:0001491,6
HP:0001492,4
HP:0001493,6
HP:0001495,3
HP:0001498,11
HP:0001500,127
HP:0001501,3
HP:0001504,2
HP:0001507,2493
HP:0001508,1021
HP:0001510,1749
HP:0001511,568
HP:0001513,404
HP:0001518,239
HP:0001519,41
HP:0001520,51
HP:0001522,231
HP:0001525,17
HP:0001528,13
HP:0001530,17
HP:0001531,120
HP:0001533,29
HP:0001537,284
HP:0001538,37
HP:0001539,75
HP:0001540,23
HP:0001541,119
HP:0001543,3
HP:0001544,7
HP:0001545,59
HP:0001547,373
HP:0001548,37
HP:0001549,35
HP:0001551,291
HP:0001552,20
HP:0001555,8
HP:0001557,222
HP:0001558,210
HP:0001560,423
HP:0001561,262
HP:0001562,172
HP:0001563,12
HP:0001566,11
HP:0001571,5
HP:0001572,28
HP:0001574,2522
HP:0001579,13
HP:0001580,5
HP:0001581,124
HP:0001582,84
HP:0001583,20
HP:0001586,3
HP:0001591,31
HP:0001592,46
HP:0001595,1258
HP:0001596,228
HP:0001597,474
HP:0001598,14
HP:0001600,202
HP:0001601,79
HP:0001602,16
HP:0001604,12
HP:0001605,51
HP:0001607,17
HP:0001608,464
HP:0001609,108
HP:0001611,96
HP:0001612,51
HP:0001615,13
HP:0001618,117
HP:0001620,44
HP:0001621,21
HP:0001622,156
HP:0001623,43
HP:0001626,2564
HP:0001627,1405
HP:0001629,478
HP:0001631,462
HP:0001633,144
HP:0001634,117
HP:0001635,227
HP:0001636,171
HP:0001637,530
HP:0001638,504
HP:0001639,271
HP:0001640,118
HP:0001641,57
HP:0001642,128
HP:0001643,342
HP:0001644,159
HP:0001645,109
HP:0001646,161
HP:0001647,102
HP:0001648,14
HP:0001649,128
HP:0001650,56
HP:0001651,132
HP:0001653,154
HP:0001654,338
HP:0001655,109
HP:0001657,56
HP:0001658,86
HP:0001659,88
HP:0001660,24
HP:0001662,87
HP:0001663,50
HP:0001664,25
HP:0001667,27
HP:0001669,73
HP:0001670,13
HP:0001671,711
HP:0001674,16
HP:0001677,51
HP:0001678,85
