From	Entry
GRIN1	Q05586
SLC29A3	Q9BZD2
CYP19A1	P11511
ADAMTS10	Q9H324
ALG12	Q9BV10
KBTBD13	C9JR72
ASPM	Q8IZT6
HS6ST1	O60243
GJA1	P17302
FOXH1	O75593
PMPCA	Q10713
MTX2	O75431
MYH7	P12883
CHRNG	P07510
SLC6A8	P48029
LOXL3	P58215
TP63	Q9H3D4
HSPA9	P38646
NSUN2	Q08J23
CLPP	Q16740
NALCN	Q8IZF0
CTNNB1	P35222
PRDM16	Q9HAZ2
TGFB2	P61812
TXNRD2	Q9NNW7
ARNT2	Q9HBZ2
TUBB4A	P04350
XPC	Q01831
PCNT	O95613
POLR1A	O95602
KAT6A	Q92794
CA2	P00918
CENPJ	Q9HC77
RAF1	P04049
NPM1	P06748
FARSA	Q9Y285
PRKG2	Q13237
FANCA	O15360
ATR	P20848
ATR	Q13535
ATR	Q9H6X2
MYPN	Q86TC9
EVC	P57679
ZC4H2	Q9NQZ6
CTDP1	Q9Y5B0
PLP1	P60201
MID1	O15344
MID1	P29372
CIT	O14578
PEX16	Q9Y5Y5
ZNF148	Q9UQR1
SRP54	P61011
NSDHL	Q15738
HCCS	P53701
BBS2	Q9BXC9
COL6A3	P12111
TAF13	Q15543
SOX9	P48436
IGF2	P01344
CIC	Q96RK0
KCNJ10	P78508
SLC16A2	P36021
ENPP1	P22413
EXT2	Q93063
RTTN	Q86VV8
CHD7	Q9P2D1
EDNRB	P24530
GPX4	P36969
CDC45	O75419
ACAN	P16112
WRAP53	Q9BUR4
EVC2	Q86UK5
ERCC8	Q13216
GMNN	O75496
CDKN1C	P49918
EDN3	P14138
SOX11	P35716
CLPB	Q9H078
OSGEP	Q9NPF4
UPF3B	Q9BZI7
SPRED2	Q7Z698
POLE	Q07864
CDCA7	Q9BWT1
COL9A3	Q14050
EPG5	Q9HCE0
CSGALNACT1	Q8TDX6
SBDS	Q9Y3A5
DMP1	Q13316
DMP1	Q9Y222
PDE3A	Q14432
DGCR8	Q8WYQ5
MBTPS1	Q14703
DNMT3A	Q9Y6K1
CDK6	Q00534
WDR81	Q562E7
P3H1	Q32P28
SLC35C1	Q96A29
PNPLA2	Q96AD5
SELENON	Q9NZV5
STAR	P25092
STAR	P49675
ADARB1	P78563
CDK13	Q14004
MATN3	O15232
MMP23B	O75900
TRAK1	Q9UPV9
AFF4	Q9UHB7
MTM1	Q13496
ELN	P15502
ERCC1	P07992
TNFRSF11B	O00300
HLA-DQA1	P01909
AKT1	P31749
POLA1	P09884
EP300	Q09472
PCNA	P12004
SLC4A4	Q9Y6R1
GGPS1	O95749
IFT57	Q9NWB7
CDON	Q4KMG0
ALDH3A2	P51648
PROK2	Q9HC23
CHRNA7	P36544
PKP1	Q13835
RDH11	Q8TC12
NAA10	P41227
ATP8B1	O43520
BSCL2	Q96G97
MFAP5	Q13361
PEX14	O75381
HBA2	P69905
MPV17	P39210
SIL1	Q9H173
SOHLH1	Q5JUK2
RBBP8	Q99708
COX8A	P10176
LFNG	Q8NES3
TLK2	Q86UE8
PTCD3	Q96EY7
CLCN7	P51798
MBD5	Q9P267
SMARCA2	P51531
MEN1	O00255
BRF1	Q07352
BRF1	Q92994
AUTS2	Q8WXX7
CELF2	O95319
PUF60	Q9UHX1
SMAD2	Q15796
GPR101	Q96P66
FOXE1	O00358
TRPV6	Q9H1D0
FOXA2	Q9Y261
RPS7	P62081
LMNA	P02545
ANTXR1	Q9H6X2
RSPRY1	Q96DX4
GHSR	Q92847
TP53RK	Q96S44
AFF3	P51826
MYMX	A0A1B0GTQ4
COG5	Q9UP83
PEX3	P56589
FOS	P01100
MYO5B	Q9ULV0
PHKA2	P46019
POP1	Q8NE79
POP1	Q8WXC3
POP1	Q99575
BBS10	Q8TAM1
SOX3	P41225
MCM7	P33993
SPEN	Q96T58
RAD50	Q92878
RAB18	Q9NP72
HPRT1	P00492
SKI	P12755
KCNC3	Q14003
AP3B2	Q13367
STX16	O14662
CNKSR2	Q8WXI2
COX7B	P24311
LZTFL1	Q9NQ48
THUMPD1	Q9NXG2
SUMF1	Q8NBK3
NHP2	Q9NX24
TBX4	P57082
NDE1	Q9NXR1
GATM	P50440
GH1	P01241
NOP10	Q9NPE3
WDR35	Q9P2L0
NODAL	Q96S42
EXOC6B	Q9Y2D4
CEP57	Q86XR8
TINF2	Q9BSI4
UBE3A	Q05086
RPL15	P61313
IHH	Q14623
PRPS1	P60891
RPL11	P62913
CLTRN	Q9HBJ8
RTEL1	Q9NZ71
ECEL1	O95672
ERCC3	P19447
ALPL	P05186
MAB21L2	Q9Y586
UBE4A	Q14139
TECPR2	O15040
NOTCH3	Q9UM47
VPS13B	Q7Z7G8
BGN	P21810
SLC38A3	Q99624
TTN	Q8WZ42
FKBP14	Q9NWM8
LETM1	O95202
DHCR7	Q9UBM7
FBXO11	Q86XK2
PSMB8	P28062
ERBB3	P21860
LUZP1	Q86V48
MCPH1	Q8NEM0
TXNL4A	P83876
KIF23	Q02241
EED	O75530
MKS1	Q9NXB0
NAT8L	Q8N9F0
ARPC4	P59998
RFT1	Q96AA3
RFT1	Q9NWF4
ABL1	P00519
RPS10	P46783
EFEMP2	O95967
GATA1	P15976
TRIM37	O94972
STAT1	P42224
KRT10	P13645
TACR3	P29371
COL3A1	P02461
RNF216	Q9NWF9
TAB2	Q9NYJ8
KCNH1	O95259
AHSG	P02765
GHR	P10912
MCM4	P33991
PCYT1A	P49585
PIK3C2A	O00443
SH2B1	Q9NRF2
ZMYM2	Q9UBW7
NKX3-2	P78367
RNF135	Q8IUD6
PHKB	Q93100
KCNQ1	P51787
HHAT	Q5VTY9
XYLT1	Q86Y38
FXR1	P51114
SEC23A	Q15436
CTCF	P49711
ALMS1	Q8TCU4
ARX	Q96QS3
CDC42BPB	Q9Y5S2
MDM2	Q00987
GNPAT	O15228
BCR	P11274
ATP6V1E1	P36543
MYLK	Q15746
HYAL1	Q12794
BNC1	Q01954
GNPTG	Q9UJJ9
RAB23	Q9ULC3
TELO2	Q9Y4R8
PLEC	Q15149
IFT74	Q96LB3
DALRD3	Q5D0E6
SREBF1	P36956
FGF3	P11487
XPA	P23025
B4GALT7	Q9UBV7
MTFMT	Q96DP5
AP4M1	O00189
ITGB6	P18564
DOLK	Q9UPQ8
ALDOA	P04075
SOX2	P48431
IFT52	Q9Y366
CHST3	Q7LGC8
FN1	P02751
DNAJC21	Q5F1R6
ATP6V1B2	P21281
DHDDS	Q86SQ9
SEC61A1	P61619
LOX	P28300
PDE4D	Q08499
USP7	Q93009
SHROOM4	Q9ULL8
GABRG2	P18507
PKDCC	Q504Y2
TGFB3	P10600
ABAT	P80404
STT3A	P46977
DYNC2LI1	Q8TCX1
SON	P18583
OBSL1	O75147
DPH2	Q9BQC3
KMT2B	Q9UMN6
GRIN2D	O15399
B3GLCT	Q6Y288
GTF2IRD2	Q86UP8
PHEX	P78562
POLR3B	Q9NW08
LIMK1	P53667
PIGL	Q9Y2B2
MED13L	Q71F56
CRIPT	Q9P021
LEMD3	Q9Y2U8
DLG4	P78352
DLG4	Q15334
TOM1	O60784
TMEM270	Q6UE05
SMPD1	P17405
KANSL1	Q7Z3B3
WLS	Q5T9L3
METTL5	Q9NRN9
GABBR2	O75899
L1CAM	P32004
INVS	Q9Y283
SIN3A	Q96ST3
GAS1	P54826
PYGL	P06737
TGFB1	P01137
GORAB	Q5T7V8
ASL	P04424
PROKR2	Q8NFJ6
CLCN5	P51795
TRAPPC2	P0DI81
IQCB1	Q15051
AGPAT2	O15120
PRKACA	P17252
PRKACA	P17612
WT1	P19544
ROGDI	Q9GZN7
SLC4A1	P02730
NLRP3	Q96P20
MKKS	Q9NPJ1
SEMA3E	O15041
CYP27B1	O15528
